mysql> SELECT city, province, LOWER(country), postalCode FROM Address ORDER BY country DESC;
+----------------------------------+--------------------------------+----------------------------------------------+------------+
| city                             | province                       | LOWER(country)                               | postalCode |
+----------------------------------+--------------------------------+----------------------------------------------+------------+
| Badalona                         | CA                             | åland islands                                | 75996      |
| Silverton                        | British Columbia               | åland islands                                | 83053      |
| Rockhampton                      | Queensland                     | åland islands                                | 63345      |
| Vienna                           | Vienna                         | åland islands                                | 11715      |
| Osgoode                          | Ontario                        | åland islands                                | 7475       |
| Overland Park                    | KS                             | åland islands                                | 5769LO     |
| Dorval                           | QC                             | åland islands                                | 3683       |
| Istanbul                         | Ist                            | åland islands                                | 29752-432  |
| North Bay                        | Ontario                        | åland islands                                | 8933SY     |
| Te Awamutu                       | North Island                   | åland islands                                | 5729       |
| Lublin                           | LU                             | åland islands                                | 6385VH     |
| Pamplona                         | Navarra                        | zimbabwe                                     | T0L 3A2    |
| Lagos                            | LA                             | zimbabwe                                     | 18090-181  |
| Shawville                        | Quebec                         | zimbabwe                                     | 51183      |
| Stonewall                        | MB                             | zimbabwe                                     | 9563       |
| Bunbury                          | WA                             | zimbabwe                                     | 51313      |
| Galway                           | Connacht                       | zimbabwe                                     | 7989       |
| Castelló                         | CV                             | zimbabwe                                     | 70204      |
| Poviglio                         | ERM                            | zimbabwe                                     | 6012       |
| Taunton                          | Somerset                       | zimbabwe                                     | 34617      |
| Carmarthen                       | CM                             | zimbabwe                                     | 6084       |
| Helena                           | MT                             | zambia                                       | 83039      |
| Raurkela                         | OR                             | zambia                                       | 80096      |
| Tillicoultry                     | CL                             | zambia                                       | 96-474     |
| Bear                             | Delaware                       | zambia                                       | 60610      |
| Ingraj Bazar                     | West Bengal                    | zambia                                       | 41080      |
| Beauvechain                      | WB                             | zambia                                       | 67386      |
| Badalona                         | CA                             | zambia                                       | 92836-889  |
| Turriaco                         | FVG                            | zambia                                       | I82 5CW    |
| Sant'Egidio del Monte Albino     | Campania                       | zambia                                       | 9252       |
| Berlin                           | Berlin                         | zambia                                       | 7402JM     |
| Lakeshore                        | Ontario                        | yemen                                        | N3G 6T6    |
| Charters Towers                  | Queensland                     | yemen                                        | S1N 1P9    |
| Carapicuíba                      | SP                             | yemen                                        | 1825       |
| Flushing                         | Zeeland                        | yemen                                        | 448084     |
| Sorbo Serpico                    | CAM                            | yemen                                        | 13173      |
| Brahmapur                        | OR                             | yemen                                        | 01617      |
| Atlanta                          | Georgia                        | yemen                                        | 4952       |
| Divinópolis                      | MG                             | yemen                                        | 05747      |
| Kumluca                          | Antalya                        | western sahara                               | 61150      |
| Koblenz                          | Rhineland-Palatinate           | western sahara                               | 4631       |
| Milena                           | SIC                            | western sahara                               | 483474     |
| Pilibhit                         | UP                             | western sahara                               | 7750FZ     |
| Vichte                           | WV                             | western sahara                               | 307157     |
| Orlando                          | FL                             | western sahara                               | 21413      |
| North Cowichan                   | BC                             | western sahara                               | 6639       |
| Elbl?g                           | WM                             | western sahara                               | K9L 4T7    |
| Galway                           | Connacht                       | western sahara                               | 7483AS     |
| Vienna                           | Vienna                         | wallis and futuna                            | 5676UU     |
| Rea                              | Lombardia                      | wallis and futuna                            | 50216      |
| Pamplona                         | NA                             | wallis and futuna                            | 30400      |
| Gresham                          | Oregon                         | wallis and futuna                            | 44443      |
| Nijmegen                         | Gelderland                     | wallis and futuna                            | 71244      |
| Lugo                             | Galicia                        | wallis and futuna                            | 0460HN     |
| Madison                          | Wisconsin                      | wallis and futuna                            | 82740-798  |
| Dubbo                            | NSW                            | wallis and futuna                            | 64845-136  |
| Dewas                            | Madhya Pradesh                 | wallis and futuna                            | 9060       |
| Siverek                          | ?a                             | wallis and futuna                            | 1865       |
| Emmen                            | Dr                             | wallis and futuna                            | 5518       |
| Latisana                         | Friuli-Venezia Giulia          | wallis and futuna                            | EN5F 0CR   |
| Belfast                          | U                              | wallis and futuna                            | 20609      |
| Valéncia                         | CV                             | wallis and futuna                            | 51001      |
| Belfast                          | U                              | wallis and futuna                            | SU81 9LO   |
| Reading                          | Pennsylvania                   | virgin islands, united states                | 34631      |
| Palmariggi                       | PUG                            | virgin islands, united states                | 78958      |
| Bamberg                          | Bavaria                        | virgin islands, united states                | 3278       |
| K?ln                             | NW                             | virgin islands, united states                | 79915      |
| South Burlington                 | VT                             | virgin islands, united states                | 39619      |
| Kaduna                           | KD                             | virgin islands, united states                | 69483      |
| Oswestry                         | Shropshire                     | virgin islands, united states                | 236868     |
| Lagos                            | Lagos                          | virgin islands, united states                | 31403      |
| Araban                           | Gaziantep                      | virgin islands, united states                | 36584      |
| L'Hospitalet de Llobregat        | CA                             | virgin islands, united states                | 8833       |
| Dublin                           | Leinster                       | virgin islands, united states                | 172850     |
| Alacant                          | CV                             | virgin islands, united states                | 08677-713  |
| Ede                              | Gl                             | virgin islands, british                      | 82801      |
| São Gonçalo                      | RJ                             | virgin islands, british                      | 93556      |
| Gasteiz                          | Euskadi                        | virgin islands, british                      | S9B 7DE    |
| Edremit                          | Bal                            | virgin islands, british                      | 66276      |
| Remagne                          | LX                             | virgin islands, british                      | 56-785     |
| Belfast                          | Ulster                         | virgin islands, british                      | 72393-760  |
| South Bend                       | IN                             | virgin islands, british                      | 6420       |
| Goes                             | Zl                             | virgin islands, british                      | 3606       |
| Covington                        | KY                             | virgin islands, british                      | 2795       |
| Istanbul                         | Istanbul                       | viet nam                                     | 51616      |
| Sarreguemines                    | Lorraine                       | viet nam                                     | 7645       |
| Ribeirão Preto                   | SP                             | viet nam                                     | 5504       |
| Owerri                           | Imo                            | viet nam                                     | 261003     |
| Swan Hill                        | VIC                            | viet nam                                     | QJ6L 2QK   |
| Bauchi                           | Bauchi                         | viet nam                                     | 932820     |
| Orangeville                      | Ontario                        | venezuela                                    | 79131      |
| Broken Hill                      | NSW                            | venezuela                                    | 37979      |
| Accadia                          | Puglia                         | venezuela                                    | 47983-578  |
| Dublin                           | L                              | venezuela                                    | 7870       |
| Banda                            | Uttar Pradesh                  | venezuela                                    | 50505      |
| Istanbul                         | Ist                            | venezuela                                    | 4900       |
| Berlin                           | Berlin                         | venezuela                                    | 755395     |
| Pickering                        | Ontario                        | venezuela                                    | 242260     |
| Jefferson City                   | Missouri                       | venezuela                                    | 541751     |
| Timaru                           | South Island                   | venezuela                                    | 32917      |
| Saint-Denis                      | Île-de-France                  | venezuela                                    | 19819      |
| Turrialba                        | Cartago                        | venezuela                                    | H6A 5X5    |
| A Coruña                         | GA                             | venezuela                                    | K4Y 5H0    |
| Galway                           | Connacht                       | vanuatu                                      | 69068      |
| Richmond                         | BC                             | vanuatu                                      | 32377      |
| Oakham                           | RU                             | vanuatu                                      | JF7C 2NF   |
| Lauterach                        | Vbg                            | vanuatu                                      | 306772     |
| Hulst                            | Zeeland                        | vanuatu                                      | 7757       |
| Cartago                          | Cartago                        | vanuatu                                      | 94-318     |
| Dutse                            | JI                             | vanuatu                                      | 2445       |
| Weesp                            | N.                             | vanuatu                                      | 2377       |
| Tuscaloosa                       | AL                             | vanuatu                                      | 643079     |
| Santa Inês                       | MA                             | vanuatu                                      | 9068       |
| Pittsburgh                       | Pennsylvania                   | vanuatu                                      | 33292      |
| Conselice                        | ERM                            | uzbekistan                                   | 1727       |
| Baltasound                       | SH                             | uzbekistan                                   | 25692      |
| Daly                             | Manitoba                       | uzbekistan                                   | R4S 5P5    |
| Munger                           | BR                             | uzbekistan                                   | 5708       |
| Vienna                           | Vienna                         | uzbekistan                                   | 81714      |
| Thorold                          | Ontario                        | uzbekistan                                   | 32307      |
| Bedollo                          | Trentino-Alto Adige            | uzbekistan                                   | 10616      |
| Sarreguemines                    | Lorraine                       | uzbekistan                                   | 47261-050  |
| Mobile                           | Alabama                        | uruguay                                      | 60649      |
| Saint-Nazaire                    | Pays de la Loire               | uruguay                                      | J0H 6S2    |
| Vienna                           | Vienna                         | uruguay                                      | 66145-039  |
| Okpoko                           | AN                             | uruguay                                      | 68524      |
| Waitara                          | NI                             | uruguay                                      | 3560       |
| Sokoto                           | Sokoto                         | uruguay                                      | 51706      |
| Aurillac                         | Auvergne                       | uruguay                                      | 595909     |
| Bozeman                          | Montana                        | uruguay                                      | 3194       |
| Cisterna di Latina               | Lazio                          | uruguay                                      | 41487      |
| Istanbul                         | Istanbul                       | united states minor outlying islands         | 33322      |
| Sherbrooke                       | QC                             | united states minor outlying islands         | 97518-695  |
| Erie                             | PA                             | united states minor outlying islands         | 50607      |
| Patna                            | Bihar                          | united states minor outlying islands         | 939863     |
| Luino                            | LOM                            | united states minor outlying islands         | 01789      |
| Schulen                          | L.                             | united states minor outlying islands         | 6656       |
| P?ock                            | Mazowieckie                    | united states minor outlying islands         | D46 7PM    |
| Kearny                           | ON                             | united states minor outlying islands         | 0084       |
| Torino                           | PIE                            | united states minor outlying islands         | 34785      |
| La Seyne-sur-Mer                 | PR                             | united states minor outlying islands         | 621597     |
| Siverek                          | ?anl?urfa                      | united states minor outlying islands         | 583665     |
| Istanbul                         | Istanbul                       | united states minor outlying islands         | R04 8DU    |
| College                          | Alaska                         | united states minor outlying islands         | 84065-762  |
| South Burlington                 | Vermont                        | united states minor outlying islands         | 1498       |
| Istanbul                         | Ist                            | united states minor outlying islands         | 15860      |
| Cairns                           | QLD                            | united states                                | 3077       |
| Birmingham                       | AL                             | united states                                | 58-417     |
| Memphis                          | TN                             | united states                                | 30-478     |
| Van                              | Van                            | united states                                | 8904       |
| Dublin                           | Leinster                       | united states                                | 73943      |
| São José dos Pinhais             | Paraná                         | united states                                | 11891      |
| Meppel                           | Dr                             | united states                                | 7504       |
| Wels                             | Upper Austria                  | united states                                | 45811      |
| Chesapeake                       | VA                             | united states                                | 15718      |
| Wilmont                          | ON                             | united states                                | 9785DE     |
| Springdale                       | Arkansas                       | united kingdom (great britain)               | 20513      |
| Konin                            | Wielkopolskie                  | united kingdom (great britain)               | 4572       |
| Orbais                           | Waals-Brabant                  | united kingdom (great britain)               | 8916       |
| Blevio                           | Lombardia                      | united kingdom (great britain)               | Y9R 2T1    |
| Olen                             | Antwerpen                      | united kingdom (great britain)               | 98331      |
| Fort William                     | Inverness-shire                | united kingdom (great britain)               | 54605      |
| Cork                             | M                              | united kingdom (great britain)               | 81420      |
| Pointe-au-Pic                    | QC                             | united kingdom (great britain)               | 4737       |
| Frankston                        | Victoria                       | united kingdom (great britain)               | QC63 8DB   |
| Whakatane                        | NI                             | united kingdom (great britain)               | 62117      |
| Cz?stochowa                      | Sl?skie                        | united kingdom (great britain)               | G0 8YB     |
| Grand-Manil                      | NA                             | united kingdom (great britain)               | 44308      |
| Salem                            | Oregon                         | united kingdom (great britain)               | 6864       |
| Vegreville                       | Alberta                        | united kingdom (great britain)               | 22077      |
| Sabadell                         | Catalunya                      | united arab emirates                         | 3502       |
| Gary                             | Indiana                        | united arab emirates                         | 40606      |
| Vienna                           | Vienna                         | united arab emirates                         | 901181     |
| Mogi das Cruzes                  | SP                             | united arab emirates                         | N1L 1C5    |
| Colchester                       | Vermont                        | united arab emirates                         | 3411       |
| Cessnock                         | New South Wales                | united arab emirates                         | 50706      |
| Wanaka                           | South Island                   | united arab emirates                         | 47941      |
| Tokoroa                          | NI                             | united arab emirates                         | 25-733     |
| Ipatinga                         | MG                             | united arab emirates                         | 36142      |
| Quinte West                      | Ontario                        | united arab emirates                         | 52810      |
| Vienna                           | Vienna                         | united arab emirates                         | 6022       |
| Vienna                           | Vienna                         | united arab emirates                         | 60-445     |
| Zamora                           | CL                             | united arab emirates                         | 977167     |
| Wellingborough                   | NT                             | united arab emirates                         | 1638ZP     |
| Wa?brzych                        | DS                             | ukraine                                      | 0862GT     |
| Galway                           | C                              | ukraine                                      | 12984      |
| Contagem                         | MG                             | ukraine                                      | 4695       |
| Dorgali                          | SAR                            | ukraine                                      | 98361      |
| Aylmer                           | QC                             | ukraine                                      | 61105      |
| Hamme                            | Vlaams-Brabant                 | ukraine                                      | 11750      |
| San Juan de Dios                 | SJ                             | ukraine                                      | 33033      |
| Saint-Eug?ne-de-Ladri?re         | QC                             | ukraine                                      | J9S 3E7    |
| Berlin                           | Berlin                         | ukraine                                      | 11904      |
| Bowden                           | Alberta                        | ukraine                                      | 4285       |
| Sainte-Flavie                    | QC                             | ukraine                                      | 4233JL     |
| Bergen op Zoom                   | N.                             | uganda                                       | 60790      |
| Bowling Green                    | Kentucky                       | uganda                                       | 08415      |
| Girona                           | CA                             | uganda                                       | 03915      |
| São João de Meriti               | RJ                             | uganda                                       | 4917       |
| Nadrin                           | LX                             | uganda                                       | 51190      |
| Dublin                           | L                              | uganda                                       | 145648     |
| Vienna                           | Vienna                         | uganda                                       | 50906      |
| Chesapeake                       | Virginia                       | uganda                                       | 32787      |
| Curon Venosta/Graun im Vinschgau | Trentino-Alto Adige            | tuvalu                                       | 09815      |
| Baton Rouge                      | Louisiana                      | tuvalu                                       | L4V 9X0    |
| Rendsburg                        | SL                             | tuvalu                                       | 1903       |
| Vienna                           | Vienna                         | tuvalu                                       | 54-712     |
| Siedlce                          | Mazowieckie                    | tuvalu                                       | 571902     |
| Vienna                           | Vienna                         | tuvalu                                       | 25-015     |
| Zaria                            | KD                             | tuvalu                                       | 61400      |
| Cz?stochowa                      | SL                             | tuvalu                                       | 9116GC     |
| Port Pirie                       | SA                             | tuvalu                                       | 8217       |
| Mainz                            | Rhineland-Palatinate           | turks and caicos islands                     | 04506      |
| Istanbul                         | Istanbul                       | turks and caicos islands                     | 84383      |
| Vienna                           | Wie                            | turks and caicos islands                     | 4683       |
| Warszawa                         | Mazowieckie                    | turks and caicos islands                     | 43-905     |
| Bangor                           | Maine                          | turks and caicos islands                     | 2255       |
